tile,dither,fiber,fiber_ra,fiber_dec,objI,ra,dec,u,Err_u,g,Err_g,r,Err_r,i,Err_i,z,Err_z,Photoz,Photoz_err,specObjI,Spec_ra,Spec_dec,Specz,Specz_err,cluster,Q,redshift,redshift_err,separation,interloper,LOSV
NE,1.0,21.0,260.624518973,32.15761125,1.2376655693e+18,260.624244954,32.1581145516,22.75885,0.5666258,21.17275,0.0711435,20.19603,0.0399259,19.99267,0.04713167,20.0315,0.1837003,0.316735,0.149482,,,,,,c260p61+32p13,0.0,0.10144,0.00041,0.182930900174,YES,-30229.5122893
NE,1.0,29.0,260.643352305,32.1576668056,1.2376655693e+18,260.643390194,32.1571461885,23.1403,0.6553432,20.5803,0.03596807,19.67733,0.02191953,19.35016,0.023556,19.01276,0.06374729,0.119298,0.036338,,,,,,c260p61+32p13,0.0,0.23209,7e-05,0.472116271386,YES,1651.35659094
NE,2.0,32.0,260.61501903,32.1553056944,1.2376655693e+18,260.615129922,32.1550472878,22.67988,0.3680938,21.30632,0.05328951,19.75578,0.01988591,19.27136,0.01873862,18.91384,0.04839759,0.333125,0.069636,,,,,,c260p61+32p13,0.0,0.22,0.00016,0.288382470694,YES,-1298.81336514
NE,2.0,62.0,260.617435779,32.1519168056,1.2376655693e+18,260.617404909,32.1516502295,21.4483,0.2084088,20.2375,0.03483102,19.38025,0.02283392,18.98596,0.02335871,18.73919,0.07018536,0.194881,0.02925,,,,,,c260p61+32p13,1.0,0.22457,7e-05,0.252215087596,NO,-183.654002091
NE,2.0,179.0,260.619811116,32.1381668056,1.2376655693e+18,260.620398765,32.1379952928,24.04568,0.9483265,21.19302,0.04850687,19.85741,0.02110138,19.30491,0.01900754,19.06632,0.05402289,0.20791,0.014955,,,,,,c260p61+32p13,1.0,0.23318,0.00019,0.108652308146,YES,1917.33551998
NE,3.0,42.0,260.639852375,32.1548334722,1.2376655693e+18,260.639610671,32.1551411938,22.5142,0.3176745,20.95298,0.04066132,20.34827,0.03066813,19.98316,0.03219391,19.84707,0.1060265,0.072485,0.026432,,,,,,c260p61+32p13,1.0,0.23184,9e-05,0.422648433752,YES,1590.35224941
NE,3.0,73.0,260.610352501,32.1496668056,1.2376655693e+18,260.610174385,32.1496391532,23.65717,0.9051149,20.62331,0.0352633,19.12396,0.01418269,18.60369,0.01295266,18.25112,0.03207895,0.258747,0.021498,,,,,,c260p61+32p13,0.0,0.20842,7e-05,0.211993081433,YES,-4124.53446451
NE,3.0,98.0,260.635102542,32.1479723611,1.2376655693e+18,260.635594929,32.1478177391,23.12188,0.4957634,21.92539,0.08307905,20.49731,0.03216558,20.00113,0.03039421,19.81476,0.09515801,0.318638,0.082419,,,,,,c260p61+32p13,1.0,0.21002,0.00033,0.299993072499,YES,-3734.10667876
NE,3.0,102.0,260.610394253,32.1461668056,1.2376655693e+18,260.609909681,32.1459196936,23.52687,0.7244031,21.18556,0.04939877,19.75853,0.02011726,19.24653,0.01855312,18.88176,0.04757632,0.226024,0.015166,,,,,,c260p61+32p13,0.0,0.16829,9e-05,0.141340901011,YES,-13916.9513659
NE,3.0,128.0,260.637519293,32.1445556944,1.2376655693e+18,260.637383278,32.1440969694,21.0683,0.1352513,19.91592,0.02439137,19.3392,0.01978561,19.07356,0.02222503,18.97806,0.07430349,0.098703,0.039331,,,,,,c260p61+32p13,1.0,0.23154,9e-05,0.312042266044,NO,1517.14703959
